surname,first_names,age,boarded,class,survivor_victim,lifeboat_number
McDermott,Miss Bridget Delia,31,Queenstown,3rd,S,NA
McGovern,Ms Mary,22,Queenstown,3rd,S,NA
Midtsjø,Mr Karl Albert,21,Southampton,3rd,S,NA
Mockler,Miss Ellen Mary,23,Queenstown,3rd,S,NA
Moor,Mrs Beila,29,Southampton,3rd,S,NA
Moor,Master Meier,7,Southampton,3rd,S,NA
Moran,Miss Bridget,28,Queenstown,3rd,S,NA
Moss,Mr Albert Johan,29,Southampton,3rd,S,NA
Mubārik,Mrs Am īnah,24,Cherbourg,3rd,S,NA
Mubārik,Master Jirjis,7,Cherbourg,3rd,S,NA
Mubārik,Master Hal īm,4,Cherbourg,3rd,S,NA
Mullin,Miss Catherine,21,Queenstown,3rd,S,NA
Mulvihill,Miss Bridget Elizabeth,25,Queenstown,3rd,S,NA
Murphy,Miss Nora,34,Queenstown,3rd,S,NA
Murphy,Miss Margaret Jane,25,Queenstown,3rd,S,NA
Murphy,Miss Catherine,18,Queenstown,3rd,S,NA
Muslamān ī,Mrs Fat īmah Muhammad,22,Cherbourg,3rd,S,NA
Najib Kiamie,Miss Adele,15,Cherbourg,3rd,S,NA
Nakid,Mr Sahid,20,Cherbourg,3rd,S,NA
Nakid,Mrs Waika,19,Cherbourg,3rd,S,NA
Nakid,Miss Maria,1,Cherbourg,3rd,S,NA
N īqūla Yārid,Miss Jamilah,14,Cherbourg,3rd,S,NA
N īqūla Yārid,Master Ilyās,11,Cherbourg,3rd,S,NA
Nilsson,Miss Berta Olivia,18,Southampton,3rd,S,NA
Nilsson,Miss Helmina Josefina,26,Southampton,3rd,S,NA
Niskänen,Mr Juha,39,Southampton,3rd,S,NA
Nysten,Miss Anna Sofia,22,Southampton,3rd,S,NA
O’Dwyer,Miss Ellen,25,Queenstown,3rd,S,NA
O’Keefe,Mr Patrick,21,Queenstown,3rd,S,NA
O’Leary,Miss Hanora,16,Queenstown,3rd,S,NA
Öhman,Miss Velin,22,Southampton,3rd,S,NA
Olsen,Master Artur Karl,9,Southampton,3rd,S,NA
Olsson,Mr Oscar Wilhelm,32,Southampton,3rd,S,NA
Persson,Mr Ernst Ulrik,25,Southampton,3rd,S,NA
Peter/Joseph,Master Michael J.,4,Cherbourg,3rd,S,NA
Peter/Joseph,Miss Anna,2,Cherbourg,3rd,S,NA
Picard,Mr Benoît,32,Southampton,3rd,S,NA
Riordan,Miss Hannah,18,Queenstown,3rd,S,NA
Roth,Miss Sarah,31,Southampton,3rd,S,NA
Ryan,Mr Edward,24,Queenstown,3rd,S,NA
Salkjelsvik,Miss Anna Kristine,21,Southampton,3rd,S,NA
Sandström,Mrs Agnes Charlotta,24,Southampton,3rd,S,NA
Sandström,Miss Beatrice Irene,1,Southampton,3rd,S,NA
Sandström,Miss Marguerite Rut,4,Southampton,3rd,S,NA
Sap,Mr Julius,21,Southampton,3rd,S,NA
Scheerlinck,Mr Jean,29,Southampton,3rd,S,NA
Sjöblom,Miss Anna Sofia,18,Southampton,3rd,S,NA
Smyth,Miss Julia,17,Queenstown,3rd,S,NA
Stanley,Miss Amy Zillah Elsie,24,Southampton,3rd,S,NA
Strandén,Mr Juho Niilosson,31,Southampton,3rd,S,NA
Sunderland,Mr Victor Francis,20,Southampton,3rd,S,NA
Sundman,Mr Johan Julian,44,Southampton,3rd,S,NA
Svensson,Mr Johan Cervin,14,Southampton,3rd,S,NA
Tannūs,Mrs Tham īn,16,Cherbourg,3rd,S,NA
Tannūs,Master As’ad,5m,Cherbourg,3rd,S,NA
Törnquist,Mr William Henry,25,Southampton,3rd,S,NA
Tenglin,Mr Gunnar Isidor,25,Southampton,3rd,S,NA
Thorneycroft,Mrs Florence Kate,32,Southampton,3rd,S,NA
Tu’Mah,Mrs Hinnah,27,Cherbourg,3rd,S,NA
Tu’Mah,Miss Mariyam,9,Cherbourg,3rd,S,NA
Tu’Mah,Master Jirjis Yūsuf,8,Cherbourg,3rd,S,NA
Turja,Miss Anna Sofia,18,Southampton,3rd,S,NA
Turkula,Mrs Hedwig,63,Southampton,3rd,S,NA
Wennerström,Mr August,27,Southampton,3rd,S,NA
Wilkes,Mrs Ellen,47,Southampton,3rd,S,NA
Yasbeck,Mr Antoni,27,Cherbourg,3rd,S,NA
Yūsuf,Mrs Kātr īn,24,Cherbourg,3rd,S,NA
Zenni,Mr Philip,22,Cherbourg,3rd,S,NA
Ab ī-Al-Munà,Mr Nās īf Qāsim,26,Cherbourg,3rd,NA,15
Abbott,Mrs Rhoda Mary “Rosa”,39,Southampton,3rd,NA,A
Abelseth,Mr Olaus Jørgensen,25,Southampton,3rd,NA,A
Abelseth,Miss Karen Marie,16,Southampton,3rd,NA,16
Abelson,Mrs Hannah,28,Cherbourg,2nd,NA,10
Abrahamsson,Mr Abraham August Johannes,20,Southampton,3rd,NA,15
Aks,Mrs Leah,18,Southampton,3rd,NA,13
Aks,Master Frank Philip,10m,Southampton,3rd,NA,11
Allen,Miss Elisabeth Walton,29,Southampton,1st,NA,2
Allison,Master Hudson Trevor,11m,Southampton,1st,NA,11
Andersen-Jensen,Miss Carla Christine Nielsine,19,Southampton,3rd,NA,16
Anderson,Mr Harry,47,Southampton,1st,NA,3
Andersson,Miss Erna Alexandra,17,Southampton,3rd,NA,D
Andrews,Miss Kornelia Theodosia,62,Cherbourg,1st,NA,10
Angle,Mrs Florence Agnes,36,Southampton,2nd,NA,11
Appleton,Mrs Charlotte,53,Southampton,1st,NA,2
Asplund,Mrs Selma Augusta Emilia,38,Southampton,3rd,NA,15
Asplund,Mr Johan Charles,23,Southampton,3rd,NA,13
Asplund,Miss Lillian Gertrud,5,Southampton,3rd,NA,15
Asplund,Master Edvin Rojj Felix,3,Southampton,3rd,NA,15
Assaf,Mrs Mariana,45,Cherbourg,3rd,NA,C
Astor,Mrs Madeleine Talmage,18,Cherbourg,1st,NA,4
Aubart,Mme. Léontine Pauline “Ninette”,24,Cherbourg,1st,NA,9
Ayoub Daher,Miss Banoura,15,Cherbourg,3rd,NA,C
Baclini,Mrs Latifa,24,Cherbourg,3rd,NA,C
Baclini,Miss Helene Barbara,9m,Cherbourg,3rd,NA,C
Baclini,Miss Marie Catherine,5,Cherbourg,3rd,NA,C
Baclini,Miss Eugenie,3,Cherbourg,3rd,NA,C
Badman,Miss Emily Louisa,18,Southampton,3rd,NA,C
Balls,Mrs Ada E.,36,Southampton,2nd,NA,10
Barber,Miss Ellen Mary (Maid to Mrs Tyrell William Cavendish),26,Southampton,1st,NA,6
Barkworth,Mr Algernon Henry,47,Southampton,1st,NA,B
Bassani,Mrs Albina (Maid to Mrs William Robert Bucknell),32,Cherbourg,1st,NA,8
Baxter,Mrs Hélène,50,Cherbourg,1st,NA,6
Beane,Mr Edward,32,Southampton,2nd,NA,13
Beane,Mrs Ethel,22,Southampton,2nd,NA,13
Becker,Mrs Nellie E.,35,Southampton,2nd,NA,11
Becker,Miss Ruth Elizabeth,12,Southampton,2nd,NA,13
Becker,Miss Marion Louise,4,Southampton,2nd,NA,11
Becker,Master Richard F.,1,Southampton,2nd,NA,11
Beckwith,Mrs Sallie,46,Southampton,1st,NA,5
Beckwith,Mr Richard Leonard,37,Southampton,1st,NA,5
Beesley,Mr Lawrence,34,Southampton,2nd,NA,13
Behr,Mr Karl Howell,26,Cherbourg,1st,NA,5
Bentham,Miss Lillian W.,19,Southampton,2nd,NA,12
Bessette,Miss Nellie Mayo (Maid to Mrs Ella Holmes White),39,Cherbourg,1st,NA,8
Bidois,Miss Rosalie (Maid to Mrs John Jacob Astor),46,Cherbourg,1st,NA,4
Bing,Mr Lee,32,Southampton,3rd,NA,C
Bird,Miss Ellen (Maid to Mr & Mrs Isodor Straus),31,Southampton,1st,NA,8
Bishop,Mr Dickinson H.,25,Cherbourg,1st,NA,7
Bishop,Mrs Helen,19,Cherbourg,1st,NA,7
Björnström-Steffansson,Mr Mauritz Hokan,28,Southampton,1st,NA,D
Blank,Mr Henry,39,Cherbourg,1st,NA,7
Bonnell,Miss Elizabeth,61,Southampton,1st,NA,8
Bonnell,Miss Caroline,30,Southampton,1st,NA,8
Bowen,Miss Grace Scott (Maid to Mr & Mrs Arthur Ryerson),45,Cherbourg,1st,NA,4
Bowerman,Miss Elsie Edith,22,Southampton,1st,NA,6
Bradley,Miss Bridget Delia,22,Queenstown,3rd,NA,13
Brereton,Mr George Andrew,37,Southampton,1st,NA,9
Brown,Mrs Caroline Lane,59,Southampton,1st,NA,D
Brown,Mrs Margaret “Molly”,44,Cherbourg,1st,NA,6
Brown,Mrs Elizabeth Catherine,40,Southampton,2nd,NA,14
Brown,Miss Amelia Mary,18,Southampton,2nd,NA,11
Brown,Miss Edith Eileen,15,Southampton,2nd,NA,14
Bryhl,Miss Dagmar Jenny Ingeborg,20,Southampton,2nd,NA,12
Buckley,Mr Daniel,21,Queenstown,3rd,NA,13
Bucknell,Mrs Emma Eliza,58,Cherbourg,1st,NA,8
Burns,Miss Elizabeth Margaret (Nanny to Master Robert Douglas Spedden),41,Cherbourg,1st,NA,3
Buss,Miss Kate,36,Southampton,2nd,NA,9
Calderhead,Mr Edward Pennington,42,Southampton,1st,NA,5
Caldwell,Mrs Sylvia Mae,28,Southampton,2nd,NA,13
Caldwell,Mr Albert Francis,26,Southampton,2nd,NA,13
Caldwell,Master Alden Gates,10m,Southampton,2nd,NA,13
Cameron,Miss Clear Annie,35,Southampton,2nd,NA,14
Candee,Mrs Helen Churchill,52,Cherbourg,1st,NA,6
Cardeza,Mrs Charlotte Wardle,58,Cherbourg,1st,NA,3
Cardeza,Mr Thomas Drake Martinez,36,Cherbourg,1st,NA,3
Carter,Mrs Lucile,36,Southampton,1st,NA,4
Carter,Mr William Ernest,36,Southampton,1st,NA,C
Carter,Miss Lucile Polk,13,Southampton,1st,NA,4
Carter,Master William Thornton II,11,Southampton,1st,NA,4
Cassebeer,Mrs Eleanor Genevieve,36,Cherbourg,1st,NA,5
Cavendish,Mrs Julia Florence,25,Southampton,1st,NA,6
Chaffee,Mrs Carrie Constance,47,Southampton,1st,NA,4
Chambers,Mrs Bertha,32,Southampton,1st,NA,5
Chambers,Mr Norman Campbell,27,Southampton,1st,NA,5
Chaudanson,Miss Victorine (Maid to Mrs Emily Ryerson),36,Cherbourg,1st,NA,4
Cherry,Miss Gladys,30,Southampton,1st,NA,8
Chevré,Mr Paul Romaine Marie Léonce,45,Cherbourg,1st,NA,7
Chibnall,Mrs Edith Martha Bowerman,48,Southampton,1st,NA,6
Chip,Mr Chang,32,Southampton,3rd,NA,C
Christy,Mrs Alice Frances,45,Southampton,2nd,NA,12
Christy,Miss Rachel Juli Cohen,25,Southampton,2nd,NA,12
Clark,Mrs Virginia Estelle,26,Cherbourg,1st,NA,4
Clarke,Mrs Ada Maria,28,Southampton,2nd,NA,14
Cleaver,Miss Alice Catherine (Nanny to Master Hudson Trevor Allison),22,Southampton,1st,NA,11
Cohen,Mr Gurshon,18,Southampton,3rd,NA,12
Collett,Mr Sidney Clarence Stuart,25,Southampton,2nd,NA,9
Collyer,Mrs Charlotte Caroline,31,Southampton,2nd,NA,14
Collyer,Miss Marjorie Lottie,8,Southampton,2nd,NA,14
Compton,Mrs Mary Eliza,64,Cherbourg,1st,NA,14
Compton,Miss Sara Rebecca,39,Cherbourg,1st,NA,14
Connolly,Miss Catherine,23,Queenstown,3rd,NA,13
Cook,Mrs Selena,22,Southampton,2nd,NA,14
Cornell,Mrs Malvina Helen,55,Southampton,1st,NA,2
Corr,Miss Ellen,16,Queenstown,3rd,NA,16
Coutts,Mrs Winnie,36,Southampton,3rd,NA,2
Coutts,Master William Loch,9,Southampton,3rd,NA,2
Coutts,Master Neville Leslie,3,Southampton,3rd,NA,2
Cribb,Miss Laura Mae,16,Southampton,3rd,NA,12
Crosby,Mrs Catherine Elizabeth,64,Southampton,1st,NA,7
Crosby,Miss Harriette Rebecca,39,Southampton,1st,NA,7
Cumings,Mrs Florence Briggs,35,Cherbourg,1st,NA,4
Dahl,Mr Charles Edward,45,Southampton,3rd,NA,15
Daly,Miss Margaret Marcella,33,Queenstown,3rd,NA,15
Daly,Mr Eugene Patrick,29,Queenstown,3rd,NA,B
Daniel,Mr Robert Williams,27,Southampton,1st,NA,3
Daniels,Miss Sarah Rebecca (Maid to Mr & Mrs Allison),33,Southampton,1st,NA,8
Davidson,Mrs Orian,27,Cherbourg,1st,NA,3
Davies,Mrs Agnes,48,Southampton,2nd,NA,14
Davies,Master John Morgan Jr,8,Southampton,2nd,NA,14
Davis,Miss Mary Ann Charlotte,28,Southampton,2nd,NA,13
Davison,Mrs Mary Elizabeth,34,Southampton,3rd,NA,16
De Messemaeker,Mrs Anna,36,Southampton,3rd,NA,13
De Messemaeker,Mr Guillaume Joseph,36,Southampton,3rd,NA,15
De Mulder,Mr Theodoor,30,Southampton,3rd,NA,11
Dean,Mrs Eva Georgetta,32,Southampton,3rd,NA,10
Dean,Miss Elizabeth Gladys “Millvina”,2m,Southampton,3rd,NA,10
Dean,Master Bertram Vere,1,Southampton,3rd,NA,10
Del Carlo,Mrs Argene,24,Cherbourg,2nd,NA,11
Devaney,Miss Margaret Delia,19,Queenstown,3rd,NA,C
Dick,Mr Albert Adrian,31,Southampton,1st,NA,3
Dick,Mrs Vera,17,Southampton,1st,NA,3
Dodge,Dr Washington,52,Southampton,1st,NA,13
Dodge,Mrs Ruth,34,Southampton,1st,NA,5
Dodge,Master Washington,4,Southampton,1st,NA,5
Dorking,Mr Edward Arthur,18,Southampton,3rd,NA,B
Douglas,Mrs Mahala,48,Cherbourg,1st,NA,2
Douglas,Mrs Mary Hélène,27,Cherbourg,1st,NA,6
Dowdell,Miss Elizabeth,31,Southampton,3rd,NA,13
Drew,Mrs Maria Louisa Thorne,34,Southampton,2nd,NA,10
Drew,Master Marshall Brines,8,Southampton,2nd,NA,10
Driscoll,Miss Bridget,27,Queenstown,3rd,NA,D
Duff Gordon,Sir Cosmo Edmund,49,Cherbourg,1st,NA,1
Duff Gordon,"Lucy Christiana, Lady",48,Cherbourg,1st,NA,1
Duquemin,Mr Joseph Pierre,24,Southampton,3rd,NA,D
Durán I Moné,Señora Florentina,30,Cherbourg,2nd,NA,12
Durán I Moné,Señora Asuncion,27,Cherbourg,2nd,NA,12
Dyker,Mrs Anna Elisabeth Judith,22,Southampton,3rd,NA,16
Earnshaw,Mrs Olive,23,Cherbourg,1st,NA,7
Emanuel,Miss Virginia Ethel,5,Southampton,3rd,NA,13
Endres,Miss Caroline Louise (Nurse to Mrs Madeleine Astor),39,Cherbourg,1st,NA,4
Eustis,Miss Elizabeth Mussey,54,Cherbourg,1st,NA,4
Finoli,Mr Luigi,34,Southampton,3rd,NA,15
Flegenheim,Mrs Antoinette,48,Cherbourg,1st,NA,7
Fleming,Miss Margaret (Maid to Mr & Mrs Thayer),42,Cherbourg,1st,NA,4
Flynn,Mr John Irwin,36,Southampton,1st,NA,5
Foo,Mr Choong,32,Southampton,3rd,NA,13
Fortune,Mrs Mary,60,Southampton,1st,NA,10
Fortune,Miss Ethel Flora,28,Southampton,1st,NA,10
Fortune,Miss Alice Elizabeth,24,Southampton,1st,NA,10
Fortune,Miss Mabel Helen,23,Southampton,1st,NA,10
Frölicher,Miss Hedwig Margaritha,22,Cherbourg,1st,NA,5
Frölicher-Stehli,Mr Maximilian Josef,60,Cherbourg,1st,NA,5
Frölicher-Stehli,Mrs Margaretha Emerentia,48,Cherbourg,1st,NA,5
Francatelli,Miss Laura Mabel (Secretary to Lady Duff-Gordon),31,Cherbourg,1st,NA,1
Frauenthal,Dr Henry William,49,Southampton,1st,NA,5
Frauenthal,Mr Isaac Gerald,43,Cherbourg,1st,NA,5
Frauenthal,Mrs Clara,42,Southampton,1st,NA,5
Futrelle,Mrs Lily May,35,Southampton,1st,NA,D
Garside,Miss Ethel,39,Southampton,2nd,NA,12
George/Joseph,Mrs Shawneene,38,Cherbourg,3rd,NA,C
Gibson,Mrs Pauline Caroline,44,Cherbourg,1st,NA,7
Gibson,Miss Dorothy Winifred,22,Cherbourg,1st,NA,7
Gieger,Miss Amalie (Maid to Mrs George Dunton Widener),35,Southampton,1st,NA,4
Gilnagh,Miss Katherine,17,Queenstown,3rd,NA,16
Glynn,Miss Mary Agatha,19,Queenstown,3rd,NA,13
Goldenberg,Mr Samuel L.,47,Cherbourg,1st,NA,5
Goldenberg,Mrs Nella,40,Cherbourg,1st,NA,5
Goldsmith,Mrs Emily Alice,31,Southampton,3rd,NA,C
Goldsmith,Master Frank John William,9,Southampton,3rd,NA,C
Gracie,Colonel Archibald,53,Southampton,1st,NA,B
Graham,Mrs Edith,59,Southampton,1st,NA,3
Graham,Miss Margaret Edith,19,Southampton,1st,NA,3
Greenfield,Mrs Blanche,45,Cherbourg,1st,NA,7
Greenfield,Mr William Bertram,23,Cherbourg,1st,NA,7
Hämäläinen,Mrs Anna,23,Southampton,2nd,NA,4
Hämäläinen,Master Viljo Unto Johannes,7m,Southampton,2nd,NA,4
Hakkarainen,Mrs Elin Matilda,24,Southampton,3rd,NA,15
Hannah,Mr Borak,27,Cherbourg,3rd,NA,15
Hansen,Mrs Jennie Louise,45,Southampton,3rd,NA,11
Harder,Mr George Achilles,25,Cherbourg,1st,NA,5
Harder,Mrs Dorothy,21,Cherbourg,1st,NA,5
Harper,Mrs Myra Raymond,49,Cherbourg,1st,NA,3
Harper,Mr Henry Sleeper,48,Cherbourg,1st,NA,3
Harper,Miss Annie Jessie,6,Southampton,2nd,NA,11
Harris,Mr George,62,Southampton,2nd,NA,15
Harris,Mrs Irene,35,Southampton,1st,NA,D
Hart,Mrs Esther Ada,48,Southampton,2nd,NA,14
Hart,Miss Eva Miriam,7,Southampton,2nd,NA,14
Hassab,Mr Hammad (Interpreter to Mr Henry Sleeper Harper),27,Cherbourg,1st,NA,3
Hawksford,Mr Walter James,45,Southampton,1st,NA,3
Hays,Mrs Clara Jennings,52,Southampton,1st,NA,3
Hays,Miss Margaret Bechstein,24,Cherbourg,1st,NA,7
Healy,Miss Honor,29,Queenstown,3rd,NA,16
Hedman,Mr Oskar Arvid,27,Southampton,3rd,NA,15
Hee,Mr Ling,24,Southampton,3rd,NA,C
Hellström,Miss Hilda Maria,22,Southampton,3rd,NA,C
Herman,Mrs Jane,48,Southampton,2nd,NA,9
Herman,Miss Alice,23,Southampton,2nd,NA,9
Herman,Miss Kate,23,Southampton,2nd,NA,9
Hewlett,Mrs Mary Dunbar,56,Southampton,2nd,NA,13
Hippach,Mrs Ida Sophia,44,Cherbourg,1st,NA,4
Hippach,Miss Jean Gertrude,17,Cherbourg,1st,NA,4
Hirvonen,Mrs Helga Elisabeth Lindqvist,22,Southampton,3rd,NA,15
Hirvonen,Miss Hildur Elisabeth,2,Southampton,3rd,NA,15
Hocking,Mrs Eliza,54,Southampton,2nd,NA,4
Hocking,Miss Ellen,20,Southampton,2nd,NA,4
Hogeboom,Mrs Anna Louisa,51,Cherbourg,1st,NA,10
Hold,Mrs Annie Margaret,29,Southampton,2nd,NA,10
Holverson,Mrs Mary Aline,35,Southampton,1st,NA,8
Homer,Mr Harry,40,Southampton,1st,NA,15
Hosono,Mr Masabumi,41,Southampton,2nd,NA,10
Howard,Miss May Elizabeth,26,Southampton,3rd,NA,C
Hoyt,Mr William Fisher,42,Cherbourg,1st,NA,14
Hoyt,Mr Frederick Maxfield,38,Southampton,1st,NA,D
Hoyt,Mrs Jane Anne,31,Southampton,1st,NA,D
Hyman,Mr Abraham Joseph,34,Southampton,3rd,NA,C
Ibrāhīm,Mrs Sāfiyah,18,Cherbourg,3rd,NA,C
Icard,Miss Rose Amélie (Maid to Mrs George Nelson Stone),39,Southampton,1st,NA,6
Ismay,Mr Joseph Bruce,49,Southampton,1st,NA,C
Jacobsohn,Mrs Amy Frances Christy,24,Southampton,2nd,NA,12
Jalševac,Mr Ivan,29,Cherbourg,3rd,NA,15
Jansson,Mr Carl Olof,21,Southampton,3rd,NA,A
Jermyn,Miss Annie Jane,26,Queenstown,3rd,NA,D
Jerwan,Mrs Marie Marthe,23,Cherbourg,2nd,NA,11
Johannesen,Mr Bernt Johannes,29,Southampton,3rd,NA,13
Johansson Palmquist,Mr Oskar Leander,26,Southampton,3rd,NA,15
Johnson,Mrs Elisabeth Vilhelmina,26,Southampton,3rd,NA,15
Johnson,Master Harold Theodor,4,Southampton,3rd,NA,15
Johnson,Miss Eleanor Ileen,1,Southampton,3rd,NA,15
Jonsson,Mr Carl,25,Southampton,3rd,NA,15
Jussila,Mr Eiriik,32,Southampton,3rd,NA,15
Kantor,Mrs Miriam,24,Southampton,2nd,NA,12
Karlsson,Mr Einar Gervasius,21,Southampton,3rd,NA,13
Karun,Mr Franz,39,Cherbourg,3rd,NA,15
Karun,Miss Manca,4,Cherbourg,3rd,NA,15
Keane,Miss Nora Agnes,46,Queenstown,2nd,NA,10
Kelly,Mrs Fanny Maria,45,Southampton,2nd,NA,9
Kelly,Miss Mary,22,Queenstown,3rd,NA,D
Kelly,Miss Anna Katherine,20,Queenstown,3rd,NA,16
Kenyon,Mrs Marion Estelle,40,Southampton,1st,NA,8
Kimball,Mrs Susan Gertrude,45,Southampton,1st,NA,5
Kimball,Mr Edwin Nelson Jr.,42,Southampton,1st,NA,5
Kink,Mr Anton,29,Southampton,3rd,NA,2
Kink-Heilmann,Mrs Luise,26,Southampton,3rd,NA,2
Kink-Heilmann,Miss Luise Gretchen,4,Southampton,3rd,NA,2
Krekorian,Mr Neshan,25,Cherbourg,3rd,NA,10
Kreuchen,Miss Emilie (Maid to Mrs Edward Scott Robert),29,Southampton,1st,NA,2
Lam,Mr Ali,38,Southampton,3rd,NA,C
Landergren,Miss Aurora Adelia,22,Southampton,3rd,NA,13
Lang,Mr Fang,32,Southampton,3rd,NA,14
Laroche,Mrs Juliette Marie Louise,22,Cherbourg,2nd,NA,14
Laroche,Miss Simonne Marie Anne Andrée,3,Cherbourg,2nd,NA,14
Laroche,Miss Louise,1,Cherbourg,2nd,NA,14
Leader,Dr Alice May,49,Southampton,1st,NA,8
Lehmann,Miss Bertha,17,Cherbourg,2nd,NA,12
Leitch,Miss Jessie Wills,31,Southampton,2nd,NA,11
Lemore,Mrs Amelia,46,Southampton,2nd,NA,14
Leroy,Miss Berthe (Maid to Mrs Walter Donald Douglas),27,Cherbourg,1st,NA,2
Lesueur,Mr Gustave J. (Manservant to Mr Thomas Cardeza),35,Cherbourg,1st,NA,3
Lindell,Mr Edvard Bengtsson,36,Southampton,3rd,NA,A
Lindell,Mrs Elin Gerda,30,Southampton,3rd,NA,A
Lindqvist,Mr Eino William,20,Southampton,3rd,NA,15
Lindström,Mrs Sigrid,55,Cherbourg,1st,NA,6
Lines,Mrs Elizabeth Lindsey,50,Cherbourg,1st,NA,9
Lines,Miss Mary Conover,16,Cherbourg,1st,NA,9
Livshin,Mr David,25,Southampton,3rd,NA,B
Longley,Miss Gretchen Fiske,21,Cherbourg,1st,NA,10
Lulic,Mr Nikola,29,Southampton,3rd,NA,15
Lundin,Miss Olga Elida,23,Southampton,3rd,NA,10
Lundström,Mr Thure Edvin,32,Southampton,3rd,NA,15
Lurette,Miss Eugénie Elise (Maid to Mr & Mrs Spencer),59,Cherbourg,1st,NA,6
Māmā,Mr Hannā Mikā’ īl,18,Cherbourg,3rd,NA,15
Madigan,Miss Margaret,21,Queenstown,3rd,NA,15
Madill,Miss Georgette Alexandra,16,Southampton,1st,NA,2
Madsen,Mr Fridtjof Arne,24,Southampton,3rd,NA,13
Maioni,Miss Roberta Elizabeth Mary (Maid to the Countess of Rothes),19,Southampton,1st,NA,8
Mallet,Mrs Antonine Marie,24,Cherbourg,2nd,NA,10
Mallet,Master André Clement,1,Cherbourg,2nd,NA,10
Mannion,Miss Margaret,28,Queenstown,3rd,NA,16
Maréchal,Mr Pierre,29,Cherbourg,1st,NA,7
Marvin,Mrs Mary Graham Carmichael,18,Southampton,1st,NA,10
Mayné,Mlle Berthe Antonine,24,Cherbourg,1st,NA,6
McCarthy,Miss Catherine,24,Queenstown,3rd,NA,16
McCoy,Miss Agnes,29,Queenstown,3rd,NA,16
McCoy,Miss Alice,26,Queenstown,3rd,NA,16
McCoy,Mr Bernard,24,Queenstown,3rd,NA,16
McDermott,Miss Bridget Delia,31,Queenstown,3rd,NA,13
McGough,Mr James Robert,35,Southampton,1st,NA,7
McGovern,Ms Mary,22,Queenstown,3rd,NA,13
Mellinger,Mrs Elizabeth Anne,41,Southampton,2nd,NA,14
Mellinger,Miss Violet Madeline,13,Southampton,2nd,NA,14
Mellors,Mr William John,19,Southampton,2nd,NA,A
Meyer,Mrs Leila,25,Cherbourg,1st,NA,6
Midtsjø,Mr Karl Albert,21,Southampton,3rd,NA,15
Minahan,Mrs Lillian E.,37,Queenstown,1st,NA,14
Minahan,Miss Daisy E.,33,Queenstown,1st,NA,14
Mock,Mr Philipp Edmund,30,Cherbourg,1st,NA,11
Mockler,Miss Ellen Mary,23,Queenstown,3rd,NA,16
Moor,Mrs Beila,29,Southampton,3rd,NA,14
Moor,Master Meier,7,Southampton,3rd,NA,14
Moran,Miss Bridget,28,Queenstown,3rd,NA,16
Moss,Mr Albert Johan,29,Southampton,3rd,NA,B
Mubārik,Mrs Am īnah,24,Cherbourg,3rd,NA,C
Mubārik,Master Jirjis,7,Cherbourg,3rd,NA,C
Mubārik,Master Hal īm,4,Cherbourg,3rd,NA,C
Mullin,Miss Catherine,21,Queenstown,3rd,NA,16
Mulvihill,Miss Bridget Elizabeth,25,Queenstown,3rd,NA,15
Murphy,Miss Nora,34,Queenstown,3rd,NA,16
Murphy,Miss Margaret Jane,25,Queenstown,3rd,NA,16
Murphy,Miss Catherine,18,Queenstown,3rd,NA,16
Muslamān ī,Mrs Fat īmah Muhammad,22,Cherbourg,3rd,NA,C
N īqūla Yārid,Miss Jamilah,14,Cherbourg,3rd,NA,C
N īqūla Yārid,Master Ilyās,11,Cherbourg,3rd,NA,C
Najib Kiamie,Miss Adele,15,Cherbourg,3rd,NA,C
Nakid,Mr Sahid,20,Cherbourg,3rd,NA,C
Nakid,Mrs Waika,19,Cherbourg,3rd,NA,C
Nakid,Miss Maria,1,Cherbourg,3rd,NA,C
Navratil,Master Michel Marcel,3,Southampton,2nd,NA,D
Navratil,Master Edmond Roger,2,Southampton,2nd,NA,D
Newell,Miss Madeleine,31,Cherbourg,1st,NA,6
Newell,Miss Marjorie Anne,23,Cherbourg,1st,NA,6
Newsom,Miss Helen Monypeny,19,Southampton,1st,NA,5
Nilsson,Miss Helmina Josefina,26,Southampton,3rd,NA,13
Nilsson,Miss Berta Olivia,18,Southampton,3rd,NA,D
Niskänen,Mr Juha,39,Southampton,3rd,NA,9
Nourney,Mr Alfred,20,Cherbourg,1st,NA,7
Nye,Mrs Elizabeth,29,Southampton,2nd,NA,11
Nysten,Miss Anna Sofia,22,Southampton,3rd,NA,13
O’Dwyer,Miss Ellen,25,Queenstown,3rd,NA,10
O’Keefe,Mr Patrick,21,Queenstown,3rd,NA,B
O’Leary,Miss Hanora,16,Queenstown,3rd,NA,13
Åhman,Miss Velin,22,Southampton,3rd,NA,C
Oliva Y Ocana,Doña Fermina (Maid to Mrs Victor de Satode Peñasco y Castellana),39,Cherbourg,1st,NA,8
Olsen,Master Artur Karl,9,Southampton,3rd,NA,13
Olsson,Mr Oscar Wilhelm,32,Southampton,3rd,NA,A
Omont,Mr Alfred Fernand,29,Cherbourg,1st,NA,7
Østby,Miss Helen Ragnhild,22,Southampton,1st,NA,5
Oxenham,Mr Percy Thomas,22,Southampton,2nd,NA,13
Padron Manent,Mr Julian,26,Cherbourg,2nd,NA,9
Pallàs I Castelló,Señor Emili,29,Cherbourg,2nd,NA,9
